LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW
0,6.022584693,0.062735257,5.781681305,2.980988593,0.570342205,8
1,5.876951331,0.734618916,5.955310683,3.285171103,9.125475285,8
2,0.347857596,2.782860766,0.347857596,0.97338403,9.764780674,8
3,0.347917765,2.656826568,0.332103321,0.456273764,9.609151573,7.974683544
4,0.332673267,1.663366337,0.217821782,0.319391635,3.19391635,7.857142857
,1.073411396,0.892654249,0.971732924,1.067948505,4.351233763,7.9661708
