LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %
0,121124,0, 84.99102675770285, 99.50657894736842, 84.99032507739905
1,334831,0, 94.79409015294283, 97.24264705882352, 94.79380704353242
2,113567,0, 92.05491031725765,94.53125, 92.05409974640747
3,168863,0, 92.86581429916559,94.53125, 92.86526435474697
4,112575,0, 92.86608927381745,94.53125,92.86526435
,738385,,91.44982215,96.04769656,
