Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
conv1,28,28,5,5,1,6,1,1
conv2,12,12,5,5,6,16,1,1
fc1,4,4,4,4,16,120,1,1
fc2,1,1,1,1,120,84,1,1
fc3,1,1,1,1,84,10,1,1
